cat_weight,lgbm_weight,balanced_accuracy,accuracy,f1_score
0.76,0.24,0.9485408332635239,0.9360241012740405,0.8602261344345074
0.77,0.22999999999999998,0.948507643994121,0.935938604931545,0.8600544317292553
0.78,0.21999999999999997,0.9484911179470012,0.9358893358528187,0.8599515690715406
0.79,0.20999999999999996,0.9484590537375781,0.9358067376914249,0.8597971416146425
0.8,0.19999999999999996,0.948456826179879,0.9357473249788433,0.8596885174194231
0.81,0.18999999999999995,0.9484523606327527,0.9356821159040586,0.8595655275505253
0.8200000000000001,0.17999999999999994,0.94842923353145,0.9356024159237663,0.8594085514555433
0.8300000000000001,0.16999999999999993,0.9484070309432462,0.9355183686718216,0.8592487176351851
0.84,0.16000000000000003,0.9483901776058102,0.9354212796049199,0.859067789502896
0.85,0.15000000000000002,0.9483720620332311,0.9353343341718737,0.8589020948123274
0.86,0.14,0.9483190349084868,0.9352111614750582,0.8586624867618777
0.87,0.13,0.9482936064460391,0.935105377864852,0.8584605950357288
0.88,0.12,0.9482668402461987,0.9349894506207904,0.8582437840116218
0.89,0.10999999999999999,0.9482514739518514,0.9348894633727872,0.8580574892879844
0.9,0.09999999999999998,0.9482090715251971,0.9347735361287256,0.8578489995820968
0.91,0.08999999999999997,0.9481471932263102,0.9346141361681409,0.8575582843134978
0.92,0.07999999999999996,0.9481151515791476,0.9344779216563684,0.8573240702986474
0.93,0.06999999999999995,0.9480673486605399,0.934354748959553,0.8571091165594851
0.9400000000000001,0.05999999999999994,0.9480416562794938,0.9342214326288821,0.8568834791146266
0.9500000000000001,0.04999999999999993,0.9479588663064712,0.9340417454005866,0.8565686239863716
0.96,0.040000000000000036,0.9479164126386316,0.9339055308888142,0.856334613292493
0.97,0.030000000000000027,0.9478325609773467,0.9337432327471279,0.8560499003941427
0.98,0.020000000000000018,0.9477257089581945,0.9335418091605708,0.8556984146816875
0.99,0.010000000000000009,0.9476385168097631,0.9333172001252015,0.8553211524132719
1.0,0.0,0.947564790688296,0.933180985613429,0.855075900281823
